"d","CA","CI_lower","CI_upper","simpleeffect","silicon","ironsix"
0.14,0.0284050675653246,0.0220403365939751,0.0312548757441475,0.0294490609871655,0.0291692227707477,0.0212339644260652
0.15,0.0301241403564312,0.0231061932893519,0.033222042993048,0.0306625205819682,0.031077969239916,0.0226110947513999
0.16,0.0318648365333754,0.0241855891518173,0.03521582087502,0.0319228547886819,0.0330043884469791,0.0240284678973433
0.17,0.033623096690036,0.0252759507599896,0.0372291549811325,0.0332267924981323,0.0349432529055729,0.0254818187111385
0.18,0.0353953691676805,0.0263750212536265,0.0392476686756274,0.0345712653564728,0.0368901853068435,0.0269672368678137
0.19,0.0371785552119928,0.0274808269136569,0.0412681104280607,0.035953395700971,0.0388415425434615,0.0284811403142255
0.2,0.0389699595990255,0.0285916491183464,0.0433436824670255,0.0373704851992766,0.0407943142557853,0.0300202505855494
0.21,0.0407672461923247,0.0297059967342855,0.0454328363635177,0.0388200041517304,0.042746034171938,0.031581569867159
0.22,0.0425683979535747,0.030833437473885,0.0475259867955833,0.0402995814185718,0.044694702712411,0.0331623596832273
0.23,0.0443716809795768,0.0320003092037386,0.0496231167350435,0.0418069949360697,0.0466387195063191,0.0347601211012364
0.24,0.0461756121817712,0.0331678739825163,0.0517225310293178,0.0433401627876453,0.0485768246230743,0.0363725763489218
0.25,0.0479789302623885,0.0343344979225026,0.0538209667767116,0.0448971347979891,0.050508047462211,0.0379976517470449
0.26,0.0497805696746458,0.0354965449063927,0.0559172282945675,0.0464760846199928,0.0524316623673396,0.0396334618678027
0.27,0.0515796372840013,0.0366568839652797,0.0580103184245993,0.0480753022860392,0.0543471501394784,0.0412782948346886
0.28,0.0533753914738732,0.0378295007980664,0.0600753366581945,0.0496931871968129,0.0562541647218594,0.0429305986852272
0.29,0.0551672234628456,0.0390441094310305,0.0621179880361343,0.0513282415223285,0.0581525044141148,0.0445889687232497
0.3,0.0569546406216304,0.0402555543764936,0.064153565893105,0.0529790639913159,0.0600420870497486,0.0462521357922816
0.31,0.0587372515971753,0.0414635070323562,0.0661736664851488,0.0546443440464653,0.0619229286380901,0.0479189554061933
0.32,0.0605147530686044,0.0426677068037195,0.0681875027016837,0.0563228563443225,0.0637951250314742,0.0495883976775481
0.33,0.06228691797534,0.0438616741559188,0.0701948566895109,0.0580134555798371,0.065658836231086,0.0512595379880851
0.34,0.0640535850719834,0.0450227101942651,0.0721955830922644,0.0597150716167114,0.06751427299149,0.0529315483495101
0.35,0.0658146496774952,0.0461752760916396,0.0741895985316462,0.0614267049057786,0.069361685425055,0.0546036894062642
0.36,0.0675700554980347,0.0473231226750574,0.0761768701607279,0.0631474221746573,0.0712013533438689,0.0562753030352038
0.37,0.0693197874136594,0.0484668052231504,0.0781574106056553,0.0648763523728908,0.0730335781088724,0.0579458055001726
0.38,0.0710638651289718,0.0495728134212635,0.0801312694908466,0.066612682857687,0.0748586757843092,0.0596146811222961
0.39,0.0728023375969202,0.0506721150431842,0.0820985280612147,0.0683556558062292,0.0766769714206096,0.0612814764294889
0.4,0.0745352781333248,0.0517675774371598,0.0840592924794523,0.0701045648413346,0.0784887943108958,0.0629457947511481
0.41,0.0762627801473713,0.0528592800306114,0.0860136908378094,0.0718587518580013,0.0802944740857414,0.0646072912263278
0.42,0.0779849534204004,0.0539473136255677,0.0880126054758064,0.073617604039097,0.0820943375279438,0.0662656681958541
0.43,0.0797019208718112,0.0550317771116649,0.0900178865514225,0.075380551049125,0.0838887060041462,0.0679206709508621
0.44,0.0814138157568801,0.0561127758803604,0.092016933679412,0.0771470623956383,0.0856778934234076,0.0695720838121266
0.45,0.0831207792467624,0.0571904202298051,0.0939486193630769,0.0789166449484748,0.0874622046444722,0.0712197265163155
0.46,0.0848229583460071,0.0582648239794123,0.0958727791857967,0.0806888406075555,0.0892419342637345,0.0728634508869464
0.47,0.0865205041074297,0.0593361004400348,0.0977991975580668,0.0824632241105221,0.0910173657248807,0.0745031377693526
0.48,0.0882135701085595,0.0604043670281803,0.0997243600335798,0.0842394009719961,0.0927887706990695,0.0761386942104068
0.49,0.0899023111574831,0.0614697423937903,0.101644559731889,0.0860170055467155,0.0945564086914236,0.0777700508650784
0.5,0.09158688219958,0.0625323435215679,0.103559987343848,0.0877956992092559,0.0963205268356488,0.0793971596131511
