"d","CA","CI_lower","CI_upper","simpleeffect","oxygen","silicon","titanium","ironsix","ironfour","ironthree"
0.03,0.0131336445385301,0.0116435212685535,0.014124516764213,0.0548389524336247,0.0121528974372478,0.012195018530601,0.0118220211236183,0.010414211307395,0.00970801238213102,0.00804397066642581
0.04,0.0141935150075607,0.0124956244318764,0.0152549151285199,0.0549851470522716,0.013444338981592,0.0131425239124946,0.0125458369927971,0.0109322760954014,0.0101729372856104,0.00839924700910381
0.05,0.0153622499864096,0.0134152235414979,0.0164421447674284,0.0551709065374989,0.0149565546777433,0.0142763778477299,0.0134238529926928,0.01157084944974,0.0107484137869569,0.00884206428256646
0.06,0.0166254407456591,0.0143921484838532,0.0178597875677339,0.0553952879789043,0.0166433202712371,0.0155676241378708,0.014436985767606,0.0123193173639521,0.0114257096961395,0.0093668098042368
0.07,0.0179705785588212,0.0154806072310373,0.0193540871089914,0.0556573708279424,0.0184666141672544,0.0169911779285609,0.0155681999793741,0.0131678830586046,0.0121966969358053,0.00996818703657555
0.08,0.0193866849643973,0.0165397389530952,0.0208964192347779,0.0559562563603693,0.0203952766192262,0.0185253464161416,0.0168023041957193,0.0141075083725402,0.0130538125843079,0.0106411989690786
0.09,0.0208640775500862,0.0175307698821447,0.0225179955539557,0.0562910671517378,0.0224038775521548,0.0201514061801029,0.0181257662170594,0.0151298591763699,0.0139900223236069,0.011381132336949
0.1,0.0223942008325825,0.0185139746967773,0.0242080655023958,0.0566609465656263,0.0244717616061341,0.0218532306589601,0.0195265460466805,0.0162272545403165,0.0149987861479379,0.0121835426355408
0.11,0.0239694920795109,0.0195231768228511,0.025946389033691,0.057065058254288,0.0265822436058133,0.0236169620125924,0.0209939448712995,0.0173926194059794,0.0160740261976017,0.0130442398916323
0.12,0.025583269262861,0.0205750541014528,0.0278301568812615,0.0575025856714209,0.0287219316141732,0.0254307222597176,0.0225184685667741,0.0186194405279277,0.0172100965901839,0.0139592751544468
0.13,0.0272296345367128,0.0216663718415341,0.0296972677416637,0.0579727315967596,0.0308801581091405,0.0272843591536718,0.0240917043783105,0.019901725466321,0.0184017551290211,0.0149249276711204
0.14,0.0289033895856562,0.0227727508065746,0.0316187472484448,0.0584747176722033,0.033048502710975,0.0291692227707477,0.0257062095471295,0.0212339644260652,0.0196441367757952,0.0159376927130072
0.15,0.0305999605768055,0.0238149662162033,0.0335504497020198,0.0590077839491972,0.0352203923572584,0.031077969239916,0.0273554107672268,0.0226110947513999,0.020932728780802,0.0169942700208268
0.16,0.0323153311911177,0.0248565907598327,0.0354987072295248,0.0595711884470932,0.037390766930939,0.0330043884469791,0.0290335134575732,0.0240284678973433,0.0222633473707127,0.0180915528381954
0.17,0.034045982626065,0.0259305911283276,0.0374736954965433,0.0601642067222228,0.0395558001470129,0.0349432529055729,0.0307354199277094,0.0254818187111385,0.0236321158995601,0.0192266175045482
0.18,0.0357888397160957,0.0270328059058113,0.0394610598648392,0.060786131447419,0.0417126670394266,0.0368901853068435,0.0324566555990183,0.0269672368678137,0.0250354443742489,0.020396713579854
0.19,0.0375412224823977,0.0281396670671113,0.0414578534475476,0.0614362720017357,0.0438593506997822,0.0388415425434615,0.0341933025207135,0.0284811403142255,0.0264700102711371,0.0215992544748554
0.2,0.0393008025378898,0.0292497756259496,0.0434615191434552,0.0621139540701127,0.0459944820360703,0.0407943142557853,0.0359419394894551,0.0300202505855494,0.0279327405651756,0.0228318085618316
0.21,0.0410655638568525,0.0303619212576433,0.0454698455583267,0.0628185192527454,0.048117207270974,0.042746034171938,0.037699588145089,0.031581569867159,0.0294207948977479,0.0240920907420884
0.22,0.0428337674825902,0.0314750602248313,0.0474809272927773,0.0635493246839231,0.0502270787092829,0.044694702712411,0.0394636644728631,0.0331623596832273,0.0309315498137346,0.0253779544475323
0.23,0.0446039197971803,0.0325882973425417,0.0494934169000821,0.0643057426601034,0.0523239649932121,0.0466387195063191,0.0412319351951146,0.0347601211012364,0.0324625840024563,0.0266873840547746
0.24,0.0463747440187534,0.033700869120934,0.0515057419499809,0.0650871602769992,0.054407977650558,0.0485768246230743,0.043002478583303,0.0363725763489218,0.0340116644810366,0.0280184876912609
0.25,0.048145154626175,0.034812128620517,0.0535166541845664,0.0658929790754573,0.0564794112387414,0.050508047462211,0.0447736492648138,0.0379976517470449,0.0355767336623857,0.0293694904139098
0.26,0.0499142344403175,0.035921531307144,0.0555825147659259,0.0667226146959152,0.0585386948107991,0.0524316623673396,0.0465440466385569,0.0396334618678027,0.0371558972534554,0.0307387277416937
0.27,0.0516812141162088,0.0370378750902563,0.0576286431564675,0.067575496541227,0.0605863527883565,0.0543471501394784,0.0483124865493884,0.0412782948346886,0.0387474129326595,0.0321246395244944
0.28,0.0534454538222933,0.0381940532177163,0.05961709895385,0.0684510674476529,0.0626229736309917,0.0562541647218594,0.0500779759041109,0.0429305986852272,0.0403496797584109,0.0335257641314263
0.29,0.0552064269023324,0.0393055656506263,0.0616010699720945,0.0693487833638159,0.0646491849492822,0.0581525044141148,0.0518396899415538,0.0445889687232497,0.041961228263603,0.0349407329426342
0.3,0.0569637053326615,0.0403948094188111,0.0635801056270527,0.0702681130374294,0.0666656339271113,0.0600420870497486,0.053596951896261,0.0462521357922816,0.0435807111935723,0.0363682651293555
0.31,0.058716946802998,0.0414806622831187,0.0655538519666021,0.0712085377096068,0.0686729721034197,0.0619229286380901,0.0553492148198704,0.0479189554061933,0.045206894847627,0.0378071627077739
0.32,0.060465883263043,0.042562570184597,0.0675232500892185,0.0721695508165695,0.0706718437195442,0.0637951250314742,0.0570960453465718,0.0495883976775481,0.0468386509866285,0.0392563058529007
0.33,0.0622103107900499,0.0436394383311879,0.0694874959414458,0.0731506576985711,0.0726628769699133,0.065658836231086,0.0588371092092845,0.0512595379880851,0.0484749492713687,0.04071464845939
0.34,0.0639500806443885,0.0447126094729859,0.0714587625087551,0.074151375315864,0.0746466776048235,0.06751427299149,0.0605721583315878,0.0529315483495101,0.0501148501986144,0.0421812139368356
0.35,0.0656850913912463,0.0457820505917019,0.0734620677995142,0.0751712319715346,0.0766238244274436,0.069361685425055,0.0623010193371273,0.0546036894062642,0.0517574985036884,0.0436550912277058
0.36,0.0674152819769527,0.0468477554805292,0.0754638078303293,0.0762097670410423,0.0785948663057485,0.0712013533438689,0.0640235833333723,0.0562753030352038,0.053402117000341,0.0451354310366537
0.37,0.0691406256580433,0.04790983680325,0.0774604833129015,0.0772665307082965,0.0805603203860471,0.0730335781088724,0.0657397968403449,0.0579458055001726,0.0550480008304369,0.0466214422604913
0.38,0.0708611246902783,0.0489778977193593,0.0794520511547364,0.0783410837081143,0.0825206712500706,0.0748586757843092,0.0674496537474092,0.0596146811222961,0.0566945120976477,0.0481123886086447
0.39,0.0725768056932999,0.0500423104434819,0.0814385204243474,0.0794329970749022,0.0844763708038787,0.0766769714206096,0.0691531881925165,0.0612814764294889,0.0583410748609107,0.0496075854044038
0.4,0.0742877156272252,0.0511031399541798,0.0834199238788057,0.0805418518974111,0.0864278387255202,0.0784887943108958,0.0708504682685574,0.0629457947511481,0.0599871704648872,0.0511063965577623
